question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
What environmental issue caused [AccidentNumber_ANC05CA040]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A (The given Accident Number is incorrect or incomplete), ___unknown___environmentalissue
What is the third event associated with [AccidentNumber_DEN83LA206]?,NOSE_OVER,nose_over,N/A, ___unknown___thirdevent 
What certificate does [Pilot_DFW05CA079] have?,Commercial,commercial,N/A, ___unknown___certificate
What is the runway surface condition associated with [AccidentNumber_LAX03TA043]?,___Unknown___RunwaySurfaceCondition,___unknown___runwaysurfacecondition,N/A, ___unknown___runwaysurfacecondition
What is the aircraft issue that caused [AccidentNumber_ATL02FA008]?,___Unknown___AircraftIssue,___unknown___aircraftissue,N/A, ___unknown___aircraftissue
What is the aircraft damage associated with [AccidentNumber_FTW04FA052]?,Destroyed,destroyed,N/A,substantial
What is the aircraft issue that caused [AccidentNumber_LAX03LA081]?,___Unknown___AircraftIssue,___unknown___aircraftissue,N/A, ___unknown___aircraftissue
What are the conditions at the accident site associated with [AccidentNumber_LAX02LA146]?,Visual Conditions,visual conditions,N/A (The accident number provided does not correspond to a valid or recognized accident identifier in aviation databases.),dry
What is the crew injury associated with [AccidentNumber_FTW04FA052]?,1 Fatal,1 fatal,N/A (The AccidentNumber_FTW04FA052 is not a valid accident number),1 minor
What is the Flight Crew associated with [AccidentNumber_ATL90LA068]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What caused [AccidentNumber_ANC92LA153]?,ALTITUDE|STALL/MUSH|LOWPASS,aircraftweightandbalance,N/A, ___unknown___causeofaccident
What is the first event associated with [AccidentNumber_MIA89MA023]?,IN_FLIGHT_ENCOUNTER_WITH_WEATHER_-_ICING_CONDITIONS,loss_of_engine_power(total)_-_nonmechanical,N/A,collisionwithterrain
What environmental issue caused [AccidentNumber_ANC05FA039]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A (The question is related to a specific accident report and does not pertain to an environmental issue.), ___unknown___environmentalissue
What certificate does [Pilot_ANC05LA021] have?,FlightInstructor;Commercial,flightinstructor;commercial,N/A, ___unknown___certificate
What are the conditions at the accident site associated with [AccidentNumber_LAX02LA037]?,Visual Conditions,visual conditions,N/A - There is no AccidentNumber_LAX02LA037 in the given prompt or dataset., ___unknown___ataccidentsite
What is the airplane rating associated with [Pilot_ANC04LA034]?,Single-engineLand,single-engineland,N/A (The AccidentNumber given is not associated with a Pilot or Airplane rating), private
What is the clearance associated with [AccidentNumber_NYC05CA068]?,IFR,ifr,N/A, ___unknown___clearance
What is the first event associated with [AccidentNumber_CHI86FA192]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL,loss_of_control_-_in_flight,N/A (As I am an AI language model and do not have the access to the latest updates/news),collisionwithterrain
What is the second event associated with [AccidentNumber_LAX95LA177]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL,forced_landing,N/A - There is not enough information given to determine the second event associated with AccidentNumber_LAX95LA177., ___unknown___secondevent 
What is the first event associated with [AccidentNumber_CHI91LA242]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,loss_of_engine_power(total)_-_nonmechanical,N/A (As there is not enough information provided to determine the first event associated with AccidentNumber_CHI91LA242.),collisionwithterrain
What is the condition of light associated with [AccidentNumber_CHI04CA132]?,Day,day,N/A, day
What is the aircraft damage associated with [AccidentNumber_SEA05CA035]?,Substantial,substantial,N/A,substantial
What is the third event associated with [AccidentNumber_CHI88DEP01]?,NOSE_OVER,nose_over,N/A (There is no information given about any third event associated with AccidentNumber_CHI88DEP01), ___unknown___thirdevent
What is the Flight Crew associated with [AccidentNumber_ANC98LA138]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the first event associated with [AccidentNumber_CHI91DCA01]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,loss_of_control_-_on_ground/water,N/A (Insufficient information provided),collisionwithterrain
What caused [AccidentNumber_DEN89FA001]?,FLIGHTPLANNING/DECISION|STALL|PROPERALTITUDE|AIRSPEED|LACKOFTOTALEXPERIENCE|WEATHERCONDITION|TERRAINCONDITION,weathercondition,N/A, ___unknown___causeofaccident
What airworthiness certificate does [Registration_N1007U] have?,Normal,normal,Standard Airworthiness Certificate, ___unknown___airworthinesscertificate
What passanger injury is associated with [AccidentNumber_ANC02LA019]?,4 None,2 none,N/A,1 none
What is the third event associated with [AccidentNumber_LAX95LA070]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,nose_over,N/A, ___unknown___thirdevent
What is the Flight Crew associated with [AccidentNumber_LAX07TA051]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the landing gear associated with [Registration_N787KL]?,Retractable-Tricycle,retractable-tricycle,N/A, ___unknown___landinggear
What is the seat occupancy associated with [Pilot_ANC02LA089]?,Left,left,N/A,2
What is the aircraft issue that caused [AccidentNumber_CHI05LA173]?,___Unknown___AircraftIssue,___unknown___aircraftissue,N/A, ___unknown___aircraftissue
What medical certification does [Pilot_LAX01LA089] have?,Class 3 Valid Medical--no waivers/lim.,class 3 valid medical--no waivers/lim.,N/A. There is no information provided on Pilot_LAX01LA089's medical certification.,certifiedinstrumentpilot
What is the first event associated with [AccidentNumber_DFW05CA174]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,loss_of_control_-_on_ground/water,N/A (Insufficient information provided to determine the first event associated with the accident number),collisionwithterrain
What caused [AccidentNumber_CHI94FA258]?,STALL|COMPENSATIONFORWINDCONDITIONS|WEATHERCONDITION,compensationforwindconditions,N/A (Answer is not present. There is no information given about AccidentNumber_CHI94FA258 in the prompt.), ___unknown___causeofaccident
What is the first event associated with [AccidentNumber_CHI05LA067]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION,loss_of_engine_power(partial)_-_mech_fa,N/A,collisionwithterrain
What is the runway surface condition associated with [AccidentNumber_DEN04FA043]?,___Unknown___RunwaySurfaceCondition,___unknown___runwaysurfacecondition,N/A (The question is not related to runway surface condition), ___unknown___runwaysurfacecondition
What is the first event associated with [AccidentNumber_ANC83FA042]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,loss_of_control_-_in_flight,N/A (As I am an AI language model and do not have access to real-time data or information about accidents),collisionwithterrain
What is the total injury associated with [AccidentNumber_LAX04LA119]?,1 None,1 none,N/A,"1 minor, 1 none"
What is the runway surface type associated with [AccidentNumber_SEA04LA178]?,___Unknown___RunwaySurfaceType,___unknown___runwaysurfacetype,N/A, ___unknown___runwaysurfacetype
What does [Registration_N7272D] have in terms of an emergency locator transmitter?,"Installed, not activated","installed, not activated",N/A, ___unknown___elt
What is the Flight Crew associated with [AccidentNumber_DEN88LA046]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot in command
What is the first event associated with [AccidentNumber_DEN03LA148]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER,on_ground/water_encounter_with_terrain/water,N/A,collisionwithterrain
What is the runway surface type associated with [AccidentNumber_NYC03LA060]?,Asphalt,asphalt,N/A (The Accident Number provided is not valid), ___unknown___runwaysurfacetype
What aircraft category does [Registration_N804JH] belong to?,Airplane,airplane,N/A,aircraftcategoryunknown
What is the second event associated with [AccidentNumber_DEN84LA080]?,FORCED_LANDING,forced_landing,N/A (There is no information provided about a second event associated with AccidentNumber_DEN84LA080), ___unknown___secondevent 
What is the aircraft damage associated with [AccidentNumber_FTW03LA143]?,Substantial,substantial,N/A.,substantial
What airworthiness certificate does [Registration_N502CL] have?,Normal,normal,N/A, ___unknown___airworthinesscertificate
What aircraft category does [Registration_N9794M] belong to?,Airplane,airplane,N/A, ___unknown___aircraftcategory
What is the third event associated with [AccidentNumber_DEN83LA132]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_TREE(S),on_ground/water_collision_with_object_-_tree(,N/A, ___unknown___thirdevent 
What environmental issue caused [AccidentNumber_CHI01LA194]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A, ___unknown___environmentalissue
What is the Flight Crew associated with [AccidentNumber_MIA87FA220]?,PILOT_IN_COMMAND,pilot_in_command,N/A (Insufficient information provided to determine the flight crew associated with AccidentNumber_MIA87FA220),pilotincommand
What is the first event associated with [AccidentNumber_NYC96LA069]?,HARD_LANDING,loss_of_engine_power(total)_-_mech_fa,N/A (There is no sufficient information provided to determine the first event associated with this accident number),collisionwithterrain
What does [Registration_N60BR] have in terms of an emergency locator transmitter?,"Installed, activated, did not aid in locating accident","installed, activated, did not aid in locating accident",N/A, ___unknown___elt
What is the first event associated with [AccidentNumber_MIA99GA072]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_VEHICLE,loss_of_engine_power(total)_-_nonmechanical,N/A,collisionwithterrain
What is the seat occupancy associated with [Pilot_IAD03FA035]?,Left,left,N/A,2
What is the Flight Crew associated with [AccidentNumber_MIA87LA123]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What was the result of the last inspection for [Registration_N4874G]?,100 Hour,100 hour,N/A, ___unknown___lastinspectionresult
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_ANC01LA066]?,OTHER_MAINTENANCE_PERSONNEL,other_maintenance_personnel,N/A, ___unknown___maintenanceandrepairperson
What is the seat occupancy associated with [Pilot_ATL04CA172]?,Left,left,N/A (there is no information provided about seat occupancy in Pilot_ATL04CA172),2
What certificate does [Pilot_ATL02FA113] have?,AirlineTransport;Commercial,airlinetransport;commercial,N/A, Commercial Pilot
What is the Federal Aviation Regulation associated with [AccidentNumber_CHI04LA084]?,Part121AirCarrier-Scheduled,part91generalaviation-instructional,"N/A - As an AI language model, I do not have access to the latest FAA accident reports and regulations. Please provide me with a valid FAA regulation or related information to assist you further.", part91generalaviation-personal_flight
What is the Flight Crew associated with [AccidentNumber_FTW93LA079]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the Federal Aviation Regulation associated with [AccidentNumber_SEA01LA110]?,Part91GeneralAviation-Personal,part91generalaviation-personal,N/A, part91generalaviation-personal_flight
What is the Federal Aviation Regulation associated with [AccidentNumber_LAX03LA123]?,Part91GeneralAviation-Personal,part91generalaviation-personal,N/A, part91generalaviation-personal_flight
What is the landing gear associated with [Registration_N97996]?,Tricycle,tricycle,Nose wheel and 2 main wheels., ___unknown___landinggear
What caused [AccidentNumber_MKC84LA160]?,FUELSUPPLY|PLANNING/DECISION|FLUIDFUEL,planning/decision,N/A, ___unknown___causeofaccident
What aircraft category does [Registration_N36SK] belong to?,Airplane,airplane,N/A. The question is incomplete and does not provide enough information to determine the aircraft category of Registration_N36SK.,aircraftcategory_generalaviation
What is the runway surface condition associated with [AccidentNumber_LAX05LA025]?,___Unknown___RunwaySurfaceCondition,___unknown___runwaysurfacecondition,N/A (No accident with AccidentNumber_LAX05LA025 exists in the database), ___unknown___runwaysurfacecondition
What is the restraint used associated with [Pilot_MIA02LA163]?,"Seatbelt, Shoulder harness","seatbelt, shoulder harness",N/A, seatbelt
What caused [AccidentNumber_ATL93FA120]?,FUELSYSTEMCARBURETOR|MAINTENANCE,maintenance,N/A, ___unknown___causeofaccident
What is the third event associated with [AccidentNumber_LAX89LA142]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER,on_ground/water_encounter_with_terrain/water,N/A, ___unknown___thirdevent
What is the instrument flight rules approach associated with [AccidentNumber_ATL05CA095]?,___Unknown___InstrumentFlightRulesApproach,___unknown___instrumentflightrulesapproach,instrument landing system (ILS) approach., ___unknown___instrumentflightrulesapproach
What is the lowest cloud condition associated with [AccidentNumber_CHI01LA079]?,Clear,clear,N/A (cloud conditions are not mentioned in the accident report for AccidentNumber_CHI01LA079), ___unknown___cloudcondition
What are the conditions at the accident site associated with [AccidentNumber_LAX02LA221]?,Visual Conditions,visual conditions,N/A (No AccidentNumber_LAX02LA221 exists in the given context),dry
What is the lowest cloud condition associated with [AccidentNumber_CHI02LA024]?,Clear,___unknown___lowestcloudcondition,N/A (cloud conditions are not mentioned in AccidentNumber_CHI02LA024 report), ___unknown___cloudcondition
What medical certification does [Pilot_ATL02FA162] have?,Class 3 Valid Medical--w/ waivers/lim.,class 3 valid medical--w/ waivers/lim.,N/A,certifiedinstrumentflightrules
What certificate does [Pilot_MIA03LA035] have?,Private,private,N/A, Commercial
What is the aircraft issue that caused [AccidentNumber_NYC02FA126]?,___Unknown___AircraftIssue,___unknown___aircraftissue,N/A, ___unknown___aircraftissue
What is the second event associated with [AccidentNumber_ANC98LA105]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A (There is no information given regarding a second event associated with AccidentNumber_ANC98LA105.), ___unknown___secondevent 
What is the seat occupancy associated with [Pilot_ANC01LA141]?,Front,front,N/A,2
What is the total injury associated with [AccidentNumber_SEA01LA124]?,2 None,2 none,N/A (There is not enough information provided to determine the total injury associated with AccidentNumber_SEA01LA124),1 none
What medical certification does [Pilot_MIA02LA057] have?,Class 1 Valid Medical--no waivers/lim.,class 1 valid medical--no waivers/lim.,N/A, ___unknown___medicalcertification
What aircraft category does [Registration_N32DS] belong to?,Airplane,airplane,N/A,aircraftcategoryunknown
What is the airport associated with [AccidentNumber_LAX02LA037]?,___Unknown___Airport,___unknown___airport,LAX (Los Angeles International),LAX
What is the first event associated with [AccidentNumber_CHI01LA195]?,"IN_FLIGHT_COLLISION_WITH_OBJECT_-_WIRE,STATIC","in_flight_collision_with_object_-_wire,static",N/A (The question cannot be answered without access to the specific accident report),collisionwithterrain
What is the first event associated with [AccidentNumber_DEN03LA061]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,hard_landing,N/A,collisionwithterrain
What is the airport associated with [AccidentNumber_CHI01LA263]?,___Unknown___Airport,___unknown___airport,N/A,"chicago/midway international airport, il"
What certificate does [Pilot_ATL05CA056] have?,Private,private,N/A, Commercial Pilot
What is the Flight Crew associated with [AccidentNumber_LAX87LA201]?,PILOT_IN_COMMAND(CFI),pilot_in_command,N/A (There is no AccidentNumber_LAX87LA201 in the question database),pilot-in-command
What is the Federal Aviation Regulation associated with [AccidentNumber_ANC01LA097]?,Part91GeneralAviation-Personal,part91generalaviation-personal,N/A, part91generalaviation-personal_flight
What is the crew injury associated with [AccidentNumber_MIA02FAMS1]?,1 Fatal,1 fatal,N/A,"1 minor, 1 none"
What are the conditions at the accident site associated with [AccidentNumber_DEN04LA001]?,Visual Conditions,visual conditions,N/A (No information provided about the accident site conditions for AccidentNumber_DEN04LA001), ___unknown___ataccidentsite
What certificate does [Pilot_MIA03LA116] have?,Private,private,N/A, private
What is the engine manufacturer associated with [Registration_N402RW]?,Pratt&WhitneyCanada,pratt&whitneycanada,N/A, Lycoming
What is the third event associated with [AccidentNumber_FTW86FA075]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent
What is the Visual Flight Rules approach associated with [AccidentNumber_CHI05LA064]?,FullStop,fullstop,What is the Visual Flight Rules approach associated with AccidentNumber_CHI05LA064?   Your response must be 'N/A' as there is no information provided in the accident report about the specific Visual Flight Rules approach associated with this accident., ___unknown___visualflightrulesapproach 
What is the airplane rating associated with [Pilot_FTW03FA028]?,Single-engineLand,single-engineland,N/A (There is no information provided to determine the airplane rating associated with Pilot_FTW03FA028), private
What is the second event associated with [AccidentNumber_FTW87DPJ01]?,FORCED_LANDING,forced_landing,N/A, ___unknown___secondevent 
What environmental issue caused [AccidentNumber_CHI03LA244]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,"N/A (The question pertains to a specific accident and without knowing the details of that accident, it is impossible to determine the environmental issue causing it.)", ___unknown___environmentalissue
What is the runway surface type associated with [AccidentNumber_SEA02LA046]?,Asphalt,asphalt,N/A, ___unknown___runwaysurfacetype
What is the third event associated with [AccidentNumber_CHI99LA016]?,UNDERSHOOT,undershoot,N/A, ___unknown___thirdevent
What engine is associated with [Registration_N9311T]?,1Reciprocating,1reciprocating,N/A, Lycoming IO-540-B1B5
What is the Flight Crew associated with [AccidentNumber_ANC88LA035]?,PILOT_IN_COMMAND(CFI),pilot_in_command(cfi),N/A,pilotincommand
What is the Flight Crew associated with [AccidentNumber_ATL86LA033]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the engine manufacturer associated with [Registration_N88BM]?,Lycoming,lycoming,N/A, Lycoming
What is the Flight Crew associated with [AccidentNumber_CHI83FA125]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilotincommand
What is the Flight Crew associated with [AccidentNumber_LAX03LA163]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What aircraft category does [Registration_N21213] belong to?,Airplane,airplane,N/A, ___unknown___aircraftcategory
What is the engine manufacturer associated with [Registration_N270JS]?,Lycoming,lycoming,N/A, ___unknown___enginemanufacturer 
What airspace is associated with [AccidentNumber_DFW05LA115]?,WreckageAndImpactInformation,wreckageandimpactinformation,N/A, ___unknown___airspacetype
What is the airplane rating associated with [Pilot_LAX04CA200]?,Single-engineLand,single-engineland,N/A, private
What is the runway surface type associated with [AccidentNumber_ANC05FA039]?,Grass/turf,grass/turf,N/A, ___unknown___runwaysurfacetype
What caused [AccidentNumber_ATL88FA131]?,VFRFLIGHTINTOIMC|OVERCONFIDENCEINPERSONALABILITY|TERRAINCONDITION|WEATHERCONDITION,terraincondition,N/A, ___unknown___causeofaccident
What is the second event associated with [AccidentNumber_DEN86LA072]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A (There is no information provided about a second event associated with AccidentNumber_DEN86LA072), ___unknown___secondevent 
What is the clearance associated with [AccidentNumber_FTW03LA001]?,VFR,vfr,N/A, ___unknown___clearance
What caused [AccidentNumber_LAX98LA037]?,FLUIDFUEL|TERRAINCONDITION,stall/mush,N/A, ___unknown___causeofaccident
What is the Flight Crew associated with [AccidentNumber_BFO93LA064]?,PILOT_IN_COMMAND,pilot_in_command,N/A (The provided Accident Number is incorrect or incomplete),pilot-in-command
What is the first event associated with [AccidentNumber_ATL04LA167]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_FENCE_POST,on_ground/water_collision_with_object_-_fence_,N/A (Insufficient information provided),collisionwithterrain
What caused [AccidentNumber_LAX05CA128]?,FLARE,fluidfuel,N/A (insufficient information provided to determine the accident), ___unknown___causeofaccident
What is the third event associated with [AccidentNumber_CHI84LA323]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A (There is no information given about the third event associated with AccidentNumber_CHI84LA323), ___unknown___thirdevent
What airworthiness certificate does [Registration_N4401X] have?,Normal,normal,N/A (insufficient information provided), ___unknown___airworthinesscertificate
What engine is associated with [Registration_N2221X]?,1Reciprocating,1reciprocating,N/A, Lycoming O-360-A4M
What [instrument rating] does [Pilot_DEN05LA019] have?,Airplane,airplane,N/A (The accident number provided is not a valid NTSB accident number), ___unknown___instrumentrating
What airworthiness certificate does [Registration_N3171S] have?,Normal,normal,N/A, ___unknown___airworthinesscertificate
What is the total injury associated with [AccidentNumber_ANC05CA054]?,1 None,1 none,N/A,1 none
What is the third event associated with [AccidentNumber_SEA04FA031]?,FORCED_LANDING,forced_landing,N/A (There is not enough information provided to determine the third event associated with AccidentNumber_SEA04FA031.), ___unknown___thirdevent
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_LAX94LA233]?,COMPANY_MAINTENANCE_PERSONNEL,other_maintenance_personnel,N/A, ___unknown___maintenanceandrepairpersonnel
What environmental issue caused [AccidentNumber_FTW03LA091]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A (The question is not relevant to this accident report and there is no mention of any environmental issue in the report), ___unknown___environmentalissue
What caused [AccidentNumber_ATL85LA001]?,PREFLIGHTPLANNING/PREPARATION|FUELSUPPLY|FLUIDFUEL|TERRAINCONDITION,fuelsupply,N/A (Insufficient information provided), ___unknown___causeofaccident
What is the seat occupancy associated with [Pilot_NYC04CA022]?,Left,left,N/A,2
What is the airplane rating associated with [Pilot_ATL03LA086]?,Single-engineLand,single-engineland,N/A, private
In which country did [AccidentNumber_DEN05FA002] occur?,NM,nm,N/A (The accident number is not clear and cannot be searched.), ___unknown___country
What [instrument rating] does [Pilot_NYC04LA063] have?,Airplane,airplane,N/A, ___unknown___instrumentrating
What was the result of the last inspection for [Registration_N5593E]?,100 Hour,100 hour,N/A, ___unknown___lastinspectionresult
What is the seat occupancy associated with [Pilot_ATL01LA045]?,Left,left,N/A,2
What is the engine manufacturer associated with [Registration_N70522]?,Continental,continental,N/A, ___unknown___enginemanufacturer 
In which country did [AccidentNumber_LAX03LA081] occur?,CA,ca,N/A (the AccidentNumber is not sufficient to determine the country), united states
What caused [AccidentNumber_DEN02LA067]?,CLEARANCE,clearance,N/A, ___unknown___causeofaccident
What is the second event associated with [AccidentNumber_NYC06LA167]?,FORCED_LANDING,forced_landing,N/A (Insufficient information provided to determine the second event associated with AccidentNumber_NYC06LA167), ___unknown___secondevent 
What aircraft category does [Registration_N7448G] belong to?,Airplane,airplane,N/A, ___unknown___aircraftcategory
What is the fourth event associated with [AccidentNumber_CHI83LA159]?,NOSE_OVER,nose_over,N/A, ___unknown___fourthevent
What is the airplane rating associated with [Pilot_MIA01LA207]?,Multi-engineLand;Single-engineLand,multi-engineland;single-engineland,N/A, multi-engine land
What caused [AccidentNumber_DEN05LA109]?,DIRECTIONALCONTROL|WEATHERCONDITION,weathercondition,N/A, ___unknown___causeofaccident
What is the second event associated with [AccidentNumber_ANC06LA043]?,LOSS_OF_CONTROL_-_IN_FLIGHT,forced_landing,N/A (There is no information provided about a second event associated with AccidentNumber_ANC06LA043), ___unknown___secondevent 
What is the airplane rating associated with [Pilot_LAX03FA147]?,Multi-engineLand;Single-engineLand,multi-engineland;single-engineland,N/A, private
What is the second event associated with [AccidentNumber_MIA85FA071]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,loss_of_control_-_in_flight,N/A, ___unknown___secondevent 
What is the Flight Crew associated with [AccidentNumber_LAX91LA337]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the Flight Crew associated with [AccidentNumber_CHI95LA303]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What is the condition of light associated with [AccidentNumber_CHI04CA219]?,Day,day,N/A, day
What certificate does [Pilot_FTW03FA055] have?,Commercial,commercial,N/A, private
What is the first event associated with [AccidentNumber_ATL83LA080]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION,loss_of_engine_power(total)_-_nonmechanical,N/A,collisionwithterrain
What is the aircraft damage associated with [AccidentNumber_ATL02LA029]?,Substantial,substantial,N/A,substantial
What is the Flight Crew associated with [AccidentNumber_FTW94LA081]?,PILOT_IN_COMMAND,pilot_in_command,N/A,pilot-in-command
What engine is associated with [Registration_N4952J]?,1Reciprocating,1reciprocating,N/A, Lycoming O-360-A4M
What is the aircraft damage associated with [AccidentNumber_DEN05CA001]?,Substantial,substantial,N/A,substantial
What is the Federal Aviation Regulation associated with [AccidentNumber_MIA03LA035]?,Part91GeneralAviation-Personal,part91generalaviation-personal,N/A, part91generalaviation-personal_flight
What is the restraint used associated with [Pilot_ANC03LA011]?,"Seatbelt, Shoulder harness","seatbelt, shoulder harness",N/A (The question pertains to a specific accident and restraint information is not provided in the accident report.), ___unknown___restraintused 
What is the runway surface type associated with [AccidentNumber_CHI03FA291]?,Asphalt;Concrete,asphalt;concrete,N/A, ___unknown___runwaysurfacetype
What is the third event associated with [AccidentNumber_SEA96FA039]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___thirdevent
What environmental issue caused [AccidentNumber_ATL02FA008]?,___Unknown___EnvironmentalIssue,___unknown___environmentalissue,N/A (The provided information does not specify any environmental issue related to the accident.), ___unknown___environmentalissue
What is the airplane rating associated with [Pilot_IAD02LA080]?,Single-engineLand,single-engineland,N/A, private
What is the Visual Flight Rules approach associated with [AccidentNumber_DFW05CA177]?,ForcedLanding,forcedlanding,N/A, ___unknown___visualflightrulesapproach 
What caused [AccidentNumber_DEN04LA056]?,OBJECT|FLUIDFUEL|FLIGHTPLANNING/DECISION|LIGHTCONDITION,object,N/A, ___unknown___causeofaccident
What is the fourth event associated with [AccidentNumber_SEA07LA118]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___fourthevent
What is the first event associated with [AccidentNumber_SEA99LA079]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,loss_of_engine_power(total)_-_nonmechanical,"N/A (As an AI language model, I don't have access to specific real-time data or database.)",collisionwithterrain
What is the second event associated with [AccidentNumber_DEN88DTM01]?,FORCED_LANDING,forced_landing,N/A, ___unknown___secondevent 
What is the Federal Aviation Regulation associated with [AccidentNumber_FTW03LA091]?,Part91GeneralAviation-FlightTest,part91generalaviation-instructional,N/A, part91generalaviation-personal_flight
What is the second event associated with [AccidentNumber_ANC02LA110]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER,in_flight_collision_with_terrain/water,N/A, ___unknown___secondevent 
What is the total injury associated with [AccidentNumber_CHI01LA078]?,2 None,2 none,N/A (There is no available information on the total injury associated with AccidentNumber_CHI01LA078),1 none
What is the first event associated with [AccidentNumber_ANC05CA054]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER,loss_of_control_-_on_ground/water,N/A,collisionwithterrain
What is the Flight Crew associated with [AccidentNumber_IAD05LA093]?,PILOT_IN_COMMAND(CFI),pilot_in_command(cfi),N/A (There is no record of an accident with the given AccidentNumber),pilot-in-command
What is the aircraft damage associated with [AccidentNumber_DEN04LA001]?,Substantial,substantial,N/A,substantial
What certificate does [Pilot_CHI04FA133] have?,Private,private,N/A, Private Pilot Certificate with a single-engine land airplane rating
What is the condition of light associated with [AccidentNumber_CHI03LA143]?,Night/Dark,night/dark,N/A, day
What certificate does [Pilot_LAX04LA199] have?,Private,private,N/A, ___unknown___certificate
What was the result of the last inspection for [Registration_N24KJ]?,Annual,annual,N/A, ___unknown___lastinspectionresult
What airspace is associated with [AccidentNumber_ANC03LA016]?,ClassG,classg,N/A, ___unknown___airspacetype
What is the first event associated with [AccidentNumber_DEN85FA035]?,LOSS_OF_CONTROL_-_IN_FLIGHT,loss_of_control_-_in_flight,N/A (As I am an AI language model and don't have access to real-time data of accidents),collisionwithterrain
What caused [AccidentNumber_LAX94LA002]?,ALTITUDE|REMEDIALACTION|PROPERGLIDEPATH,lackofrecentexperienceintypeofaircraft,N/A (No accident with AccidentNumber_LAX94LA002 exists in the National Transportation Safety Board database), ___unknown___causeofaccident
What was the result of the last inspection for [Registration_N248ND]?,100 Hour,100 hour,N/A, ___unknown___lastinspectionresult
What engine is associated with [Registration_N6981B]?,1Reciprocating,1reciprocating,N/A, Lycoming O-360-A4M
What is the first event associated with [AccidentNumber_MIA01LA207]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S),loss_of_engine_power(total)_-_nonmechanical,N/A,collisionwithterrain
What is the seat occupancy associated with [Pilot_NYC02FA152]?,Left,left,N/A (The accident number provided does not match any records in the FAA accident database),2
What caused [AccidentNumber_ANC97LA066]?,COMPENSATIONFORWINDCONDITIONS|DIRECTIONALCONTROL|WEATHERCONDITION,weathercondition,N/A, ___unknown___causeofaccident
What is the crew injury associated with [AccidentNumber_LAX02LA036]?,1 Minor,1 minor,N/A,"1 minor, 1 none"
What was the result of the last inspection for [Registration_N136GR]?,Annual,annual,N/A, ___unknown___lastinspectionresult
